Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
MRNS,,-0.9,,41.0,-28.0,67.0,-58.14,-54.05,,,90.82,,,,,10.7,,,2.87
MRSN,11.0,-2.79,,23.0,-55.0,5.0,-163.11,-61.43,,12.93,11.2,21.41,,,4.23,1.07,,565.56,4.08
MRTN,788.0,1.0,0.1,55.0,151.0,92.0,9.99,7.62,,21.4,76.4,36.59,19.13,,1.36,2.27,,,19.67
MRTX,13.0,-3.19,,31.0,-70.0,201.0,-57.08,-51.03,,0.94,88.23,,,,25.9,8.67,,726.23,77.910004
MRUS,36.0,-1.27,,22.0,-46.0,191.0,-34.16,-11.42,,11.77,42.04,25.47,,,17.14,6.75,,149.56,14.77
MRVL,2866.0,-0.3,0.24,591.0,597.0,758.0,-3.13,-2.43,0.92,3.05,72.94,49.26,42.87,6.31,10.82,2.19,0.24,31.89,24.040001
MSBF,19.0,0.9,,5.0,6.0,,6.92,0.84,,0.29,11.4,,,,2.22,,1.41,,16.25
MSBI,252.0,1.66,0.88,24.0,97.0,,7.42,0.78,,2.86,10.79,,,,2.95,,1.21,,26.049999
MSEX,138.0,1.96,0.91,17.0,46.0,-64.0,13.52,4.52,5.94,52.21,32.72,29.8,84.8,15.02,0.23,0.33,0.61,,59.25
MSFT,110360.0,2.13,1.65,7794.0,43884.0,111174.0,21.37,6.63,14.35,10.54,31.96,76.52,76.17,15.84,3.68,2.9,0.94,13.34,112.029999
MSON,37.0,-0.85,,9.0,-1.0,17.0,-28.98,-24.4,,1.47,84.08,51.64,68.11,1.96,9.26,4.75,,11.98,18.5
MSTR,498.0,1.97,,11.0,11.0,520.0,4.02,2.66,,1.38,61.9,88.33,118.11,,9.45,3.01,,20.6,143.28999299999998
MSVB,7.0,0.41,0.02,3.0,3.0,,3.87,0.75,,0.66,24.34,,,,3.68,,,,12.68
MTBC,51.0,-0.59,,12.0,7.0,18.0,-23.55,-19.04,-5.54,2.03,81.62,40.48,20.03,70.32,31.42,3.2,0.01,2.04,4.41
MTBCP,51.0,,,,7.0,18.0,-23.55,-19.04,-5.54,2.03,81.62,40.48,20.03,70.32,31.42,3.2,0.01,2.04,26.771998999999997
MTC,,-0.05,,20.0,-1.0,,-125.93,-111.88,,,76.03,,,,,3.43,,,0.0475
MTCH,1730.0,1.61,,277.0,603.0,-12.0,152.43,22.85,7.64,1.79,6.13,22.77,8.74,,28.84,0.97,12.04,7.63,68.650002
MTEM,13.0,-1.02,,30.0,-4.0,72.0,-33.99,-26.27,-29.59,43.07,71.99,6.59,,,3.02,3.23,0.03,227.34,6.59
MTEX,174.0,-1.53,1.25,3.0,,9.0,-11.85,-5.61,,1.35,40.72,0.4,67.4,3.11,31.33,1.26,0.04,,17.0
MTLS,,,,47.0,,,-2.12,-0.83,-0.09,22.45,32.63,80.72,84.5,6.9,2.16,1.55,1.06,2.26,12.84
MTP,,,,1.0,,,-39.96,-30.33,-157.98,19.54,70.45,87.91,1091.65,1.05,2.87,2.22,0.18,134.05,36.299999
MTRX,1092.0,-0.43,,27.0,75.0,119.0,-3.58,-2.01,-3.67,0.8,57.14,69.27,33.79,224.91,14.28,1.5,,,20.26
MTSC,778.0,3.18,1.2,19.0,63.0,189.0,13.53,5.27,,1.58,41.95,57.76,36.85,3.54,8.18,1.79,0.74,4.47,54.459998999999996
MTSI,570.0,-2.57,,65.0,36.0,352.0,-19.36,-8.97,-3.95,9.3,45.1,74.7,50.02,2.51,4.06,4.29,1.03,31.16,17.77
MTSL,6.0,-0.34,,3.0,-2.0,-1.0,-57.0,-14.5,,0.24,32.1,62.12,123.31,,56.36,0.81,,14.08,1.15
MU,30391.0,11.51,,1229.0,17400.0,10285.0,55.52,35.92,42.83,29.22,75.98,51.32,44.16,3.72,1.41,2.79,0.12,7.04,40.880001
MUDS,,0.1,,26.0,,,1.64,1.57,,,96.24,,,,,0.78,,,10.18
MUDSU,,,,,,,1.64,1.57,,,96.24,,,,,0.78,,,10.59
MVBF,87.0,1.0,0.11,13.0,7.0,,7.4,0.7,,3.09,10.1,,,,3.27,,1.38,,17.41
MVIS,18.0,-0.31,,87.0,-23.0,-1.0,-606.7,-103.36,,6.35,17.87,5.09,93.91,3.77,5.64,0.97,0.01,140.09,0.79
MWK,73.0,-1.81,,18.0,-30.0,18.0,-470.65,-71.37,-12.5,0.08,9.26,6.81,90.25,1.85,192.33,1.45,2.43,4.99,7.02
MXIM,2480.0,1.64,1.56,286.0,819.0,2413.0,22.61,10.36,17.43,2.65,43.38,39.48,36.32,3.22,4.18,4.03,0.51,18.18,55.919998
MYFW,57.0,0.63,,7.0,18.0,,3.9,0.42,,1.25,10.78,,,,8.87,,0.18,,14.06
MYGN,773.0,1.85,,72.0,116.0,224.0,15.04,10.93,37.53,1.09,82.18,48.16,49.44,4.63,16.38,3.19,0.01,9.16,32.240002000000004
MYL,11433.0,0.68,,517.0,2341.0,1780.0,2.77,1.03,1.55,10.46,37.17,89.22,51.55,2.9,5.07,1.38,1.08,6.16,20.1
MYOK,34.0,-1.76,,38.0,-65.0,283.0,-22.11,-19.62,,10.05,90.99,5.51,,,8.1,8.71,,204.94,51.990002000000004
MYOS,,-0.45,,7.0,-3.0,1.0,-89.71,-69.69,-270.69,,63.32,41.57,303.19,0.14,2.16,1.78,,,1.47
MYRG,1531.0,1.87,,17.0,85.0,192.0,10.19,4.6,12.79,3.31,43.22,66.37,33.43,,9.88,1.68,0.27,,33.540001000000004
MYSZ,,-3.03,,2.0,-4.0,5.0,-288.22,-125.2,-30.09,,74.39,,,,,3.75,,,10.199995
MYT,38.0,-7.11,,12.0,-3.0,-70.0,,-81.83,-58.71,3.57,-33.95,125.96,141.66,7.05,0.85,0.22,,,1.0
NAII,132.0,0.73,,7.0,2.0,51.0,7.81,6.4,,3.08,80.1,31.73,25.39,5.69,7.08,4.56,,,10.15
NAKD,,,,,,,,-39.71,-3.27,1.76,-6.48,49.47,84.23,2.54,27.08,0.77,,,141.0
NAOV,,-1.17,,5.0,-2.0,4.0,,-216.68,-2.99,,74.7,22.91,518.47,1.23,28.12,5.67,,289.96,4.68
NATH,104.0,0.62,,4.0,19.0,54.0,,3.32,1.3,0.54,-105.59,31.93,35.33,122.02,13.46,3.98,,,74.889999
NATI,1359.0,1.16,0.92,133.0,275.0,739.0,13.11,9.58,,3.99,74.1,66.03,53.66,1.76,5.49,3.61,,19.21,42.119999
NATR,365.0,-0.04,,19.0,22.0,40.0,-0.71,-0.44,9.27,1.33,62.45,8.32,17.99,2.22,5.48,1.6,,,9.03
NAVI,1923.0,1.49,0.64,264.0,1140.0,,11.33,0.36,,,3.38,,,,13.17,,26.58,,13.04
NBEV,52.0,-0.26,,46.0,-22.0,41.0,-11.71,-6.84,-18.72,1.43,53.86,60.53,56.76,1.94,1.28,1.74,0.1,,4.66
NBIX,451.0,0.22,,95.0,101.0,650.0,4.95,2.33,1.72,5.5,48.41,35.33,726.01,0.45,20.2,8.36,0.81,35.57,88.220001
NBL,4986.0,-0.14,0.43,483.0,2336.0,24.0,-0.68,-0.31,1.5,65.76,47.24,30.67,126.1,46.0,0.28,1.01,0.7,,22.34
NBLX,496.0,3.96,2.09,24.0,240.0,-33.0,29.97,11.1,19.02,124.39,,31.26,132.04,130.07,0.48,0.68,0.98,,30.25
NBN,60.0,1.77,0.04,9.0,19.0,,12.38,1.45,,1.63,11.96,,,,8.92,,0.29,,20.68
NBRV,7.0,-2.26,,51.0,-73.0,91.0,-152.33,-111.34,-861.64,3.52,62.15,272.94,,,5.27,6.11,0.35,,2.02
NBSE,,-4.6,,3.0,-9.0,3.0,-78.45,-66.93,,,93.76,,,,,5.52,,,3.1
NBTB,426.0,2.56,0.99,44.0,148.0,,11.39,1.2,,1.74,10.65,,,,5.31,,0.17,,37.509997999999996
NCBS,146.0,4.12,,10.0,51.0,,10.93,1.36,,2.91,12.49,,,,3.07,,0.2,,62.060001
NCMI,441.0,0.37,0.68,157.0,150.0,120.0,,2.6,2.87,3.24,-42.64,132.47,182.01,,13.73,2.09,,,7.05
NCNA,,,,32.0,,,-15.82,-15.08,,,93.59,,,,,15.02,,,10.38
NCSM,227.0,-4.25,,45.0,14.0,89.0,-73.46,-54.88,,6.97,75.1,78.69,24.63,3.29,8.11,4.47,0.15,,3.21
NCTY,,,,11.0,,,,-52.02,-1.02,0.62,-72.71,27.98,569.16,,1.31,0.22,,61.67,1.48
NDAQ,4277.0,2.73,1.7,168.0,1028.0,-200.0,8.08,2.91,8.6,2.6,34.71,34.43,39.08,,11.02,0.97,0.54,,96.16999799999999
NDLS,458.0,-0.2,,42.0,5.0,-10.0,-19.07,-4.73,,3.13,30.62,1.32,8.89,39.38,3.14,0.7,0.84,,6.99
NDRA,,-2.17,,5.0,-8.0,6.0,-170.02,-146.8,,,86.51,,,,0.02,7.13,,,1.53
NDSN,2255.0,6.4,1.25,59.0,505.0,534.0,28.96,11.04,10.05,3.98,42.41,78.26,30.38,3.85,6.15,2.52,0.89,,135.759995
NEBU,,0.1,,34.0,-1.0,1.0,1.99,1.92,,,96.43,,,,,3.28,,,10.09
NEBUU,,,,,-1.0,1.0,1.99,1.92,,,96.43,,,,,3.28,,,10.27
NEO,277.0,0.07,,92.0,45.0,43.0,2.47,1.44,,5.17,63.45,90.57,34.47,18.54,5.68,1.7,0.31,1.08,21.709999
NEOG,402.0,1.21,,52.0,69.0,337.0,12.24,11.02,,5.21,90.64,66.99,31.85,2.84,5.97,9.71,,2.7,61.959998999999996
NEON,9.0,-0.52,,6.0,-3.0,8.0,-29.34,-23.21,-79.18,2.76,77.45,60.71,200.14,0.78,2.94,4.53,0.1,61.82,2.43
NEOS,50.0,-1.6,,32.0,-41.0,32.0,-656.82,-47.25,-4.76,2.73,7.04,151.41,163.94,2.26,6.2,1.55,5.51,17.02,1.65
NEPH,6.0,-0.5,,7.0,-4.0,6.0,-118.37,-43.78,-18.87,,50.25,73.42,125.49,1.96,79.54,3.08,0.22,27.06,5.580006
NEPT,,,,79.0,,,23.33,16.71,6.76,18.27,87.77,81.31,57.95,2.3,0.63,3.29,,51.17,3.19
NERV,,-1.29,,39.0,-42.0,86.0,-45.23,-31.08,-453.25,,64.88,,,,,24.94,,,6.74
NESR,,,,,,,,,,,,,,,,,,,8.66
NETE,66.0,-1.28,,4.0,-3.0,-2.0,-45.07,-16.99,-4.93,8.4,33.69,32.63,43.16,,1573.79,0.86,0.68,,4.57
NEWA,25.0,0.26,,10.0,-3.0,7.0,16.32,8.23,13.64,5.85,46.29,62.57,72.11,2.26,3.65,1.3,,,10.85
NEWT,50.0,1.91,1.8,19.0,-74.0,62.0,12.61,6.08,3.22,1.27,44.0,188.55,148.08,,,5.19,1.16,,21.559998999999998
NEXT,,-0.41,,107.0,-23.0,65.0,-46.7,-30.52,,,49.24,,1542.18,,,6.36,,,5.55
NFBK,119.0,0.85,0.4,47.0,53.0,,6.14,0.95,,2.41,15.12,,,,4.65,,0.61,,15.52
NFE,112.0,-0.94,,167.0,-93.0,-251.0,-28.57,-14.47,-5.98,161.31,39.17,77.92,85.82,7.77,0.5,0.38,,,14.02
NFLX,15794.0,2.68,,451.0,-2680.0,3207.0,27.46,5.38,3.92,1.35,20.17,,16.89,,42.82,1.49,1.98,7.74,323.570007
NGHC,4608.0,1.59,0.16,111.0,598.0,,10.66,1.96,5.3,2.22,23.48,,,,14.58,,0.29,,23.58
NGHCN,4608.0,,,,598.0,,10.66,1.96,5.3,2.22,23.48,,,,14.58,,0.29,,24.209999
NGHCO,4608.0,,,,598.0,,10.66,1.96,5.3,2.22,23.48,,,,14.58,,0.29,,24.389999
NGHCP,4608.0,,,,598.0,,10.66,1.96,5.3,2.22,23.48,,,,14.58,,0.29,,24.684998999999998
NGM,109.0,-0.01,,65.0,-8.0,173.0,-1.5,-0.2,,5.38,75.94,6.16,,,4.46,5.17,,88.08,14.64
NH,89.0,-1.76,,109.0,-30.0,3.0,-195.94,-52.25,,11.79,0.99,54.62,19.85,66.32,4.31,1.08,70.81,23.38,0.685
NHLD,8.0,-0.92,,12.0,5.0,,-26.82,-17.33,,6.17,68.57,,,,2.97,,,,3.0
NHTC,192.0,2.74,0.58,11.0,30.0,107.0,34.39,19.55,,0.11,56.9,,15.68,3.83,184.26,3.49,,,8.05
NICE,1332.0,2.31,0.16,62.0,395.0,170.0,8.79,5.23,9.18,5.09,61.49,67.26,21.44,68.27,12.94,1.32,0.26,13.6,105.75
NICK,74.0,-0.14,,8.0,24.0,,-1.01,-0.36,,0.18,38.16,,,,72.78,,,,10.4
NIU,,,,74.0,,,,-41.4,-57.56,3.02,-64.58,7.35,50.24,9.22,35.95,0.7,,5.13,7.73
NK,,-1.22,,79.0,-63.0,62.0,-52.75,-44.51,-222.39,,80.25,44522.23,,,,3.26,0.04,,1.16
NKSH,46.0,2.32,1.21,7.0,20.0,,8.61,1.29,,2.59,15.15,,,,5.44,,,,39.5
NKTR,1193.0,3.78,,180.0,718.0,1356.0,75.47,51.25,16.96,1.19,79.88,7.38,79.51,2.21,24.78,17.53,0.14,33.48,31.32
NLOK,4834.0,1.7,0.3,668.0,950.0,323.0,26.75,6.71,2.7,2.94,31.87,55.04,61.54,,5.64,1.1,1.0,19.78,22.99
NLTX,25.0,-1.34,,24.0,-32.0,73.0,-36.82,-33.61,,0.2,93.63,7.13,,,38.31,16.68,,167.16,2.67
NMCI,134.0,0.38,,34.0,48.0,-22.0,7.86,3.73,2.08,127.32,,4.48,17.22,77.61,0.51,0.53,0.58,,2.15
NMIH,274.0,1.6,,68.0,146.0,,17.83,10.86,10.08,2.95,64.24,,,,30.15,,0.21,,27.26
NMRD,,-0.1,,15.0,-2.0,5.0,-38.42,-26.66,,,65.72,,,,,7.39,,,20.85
NMRK,2048.0,0.64,0.27,164.0,-332.0,92.0,24.55,3.55,5.84,1.18,19.14,59.01,30.49,,28.51,1.06,0.95,,9.06
NNBR,771.0,-8.3,0.28,32.0,41.0,152.0,-58.48,-17.77,-3.26,8.31,27.86,57.28,36.82,5.73,2.48,2.05,1.94,,8.21
NNDM,5.0,-8.5,,2.0,-13.0,5.0,-91.94,-74.2,,25.86,76.7,50.33,80.45,1.6,0.98,2.44,,169.08,4.8
NODK,212.0,1.39,,22.0,21.0,,11.84,7.44,,0.73,59.86,,,,33.04,,,,16.799999
NOVN,6.0,-0.49,,26.0,-29.0,,-851.68,-53.36,-11.1,18.48,19.72,,13.69,,0.37,1.03,1.54,,2.15
NOVT,614.0,1.43,,35.0,90.0,178.0,14.97,7.04,,2.39,51.18,49.15,46.82,3.6,9.66,2.7,0.55,8.31,84.089996
NRBO,,-3.65,,4.0,-22.0,8.0,-403.53,-122.12,,,39.47,,,,,1.65,,,20.25
NRC,120.0,1.04,0.63,28.0,40.0,-19.0,54.89,25.45,23.94,4.99,17.66,38.52,4.63,,9.03,0.6,1.79,,57.43
NRIM,93.0,2.86,1.02,7.0,25.0,,10.03,1.32,,4.31,13.7,,,,2.43,,0.09,,36.200001
NSEC,65.0,0.31,0.2,3.0,3.0,,1.67,0.54,1.86,0.04,31.8,,,,37.82,,0.26,,12.12
NSIT,7080.0,4.55,,36.0,293.0,802.0,17.88,5.99,10.29,0.24,35.56,96.57,74.99,32.03,95.54,1.52,0.2,,55.689999
NSSC,92.0,0.41,,19.0,8.0,44.0,12.71,10.61,,1.4,86.6,85.56,35.51,2.12,13.76,5.71,,7.23,15.8
NSTG,107.0,-2.78,,28.0,-54.0,89.0,-201.1,-54.45,-9.38,4.2,24.99,63.0,63.93,2.19,7.3,3.05,1.58,57.71,25.48
NSYS,113.0,0.06,,3.0,2.0,21.0,0.82,0.3,1.65,1.24,35.17,60.38,54.43,5.63,11.14,1.84,0.66,,4.02
NTAP,5911.0,0.42,0.8,276.0,1478.0,3233.0,3.14,0.79,19.81,2.45,20.95,53.72,78.87,15.3,7.6,1.89,0.75,13.25,69.339996
NTCT,987.0,0.9,,88.0,222.0,339.0,3.54,2.29,-0.47,1.68,61.41,93.92,45.33,7.27,17.33,1.82,0.29,21.8,26.780001000000002
NTEC,,-1.4,,31.0,-39.0,36.0,-77.52,-69.08,,,87.05,,,,,5.69,,,4.34
NTES,,,,133.0,,,25.52,16.59,,4.67,65.03,26.55,25.97,7.99,14.68,2.61,,8.08,252.669998
NTGN,,-5.54,,15.0,-63.0,93.0,,-81.44,,,88.75,,,,,8.31,,,4.24
NTGR,1059.0,-0.29,,33.0,-103.0,474.0,-1.35,-0.81,,1.16,60.15,123.49,64.05,2.93,51.86,2.23,,7.78,32.220001
NTIC,51.0,0.72,0.2,9.0,1.0,23.0,13.15,11.15,451.89,1.49,87.29,61.35,35.16,4.12,7.08,3.95,,6.85,14.795
NTLA,30.0,-1.98,,43.0,-61.0,284.0,-29.5,-23.59,,20.89,80.02,108.05,,,1.88,8.01,,292.81,14.67
NTNX,1155.0,-1.81,,164.0,93.0,805.0,-158.49,-25.55,,5.4,20.43,69.05,65.82,,16.14,2.76,1.31,27.16,42.720001
NTRA,258.0,-2.22,,58.0,-71.0,127.0,,-57.35,-11.2,1.51,11.99,49.92,25.41,14.68,9.54,2.11,2.28,19.93,27.58
NTRP,,-1.37,,8.0,-8.0,27.0,-53.24,-48.0,,,89.97,,,,,9.96,,,4.86
NTRS,5221.0,6.64,1.94,224.0,1768.0,,15.72,1.1,,9.69,7.95,,,,11.7,,1.17,,93.199997
NTRSO,5221.0,,,,1768.0,,15.72,1.1,,9.69,7.95,,,,11.7,,1.17,,25.719998999999998
NTUS,531.0,-0.69,,33.0,33.0,152.0,-5.59,-3.4,-3.75,1.61,62.44,87.26,43.48,3.0,23.6,2.14,0.17,11.58,31.07
NTWK,61.0,0.38,,11.0,16.0,35.0,6.83,4.32,20.0,4.02,73.33,73.02,18.02,,3.34,2.55,0.01,1.4,6.34
NUAN,2052.0,-0.55,,291.0,444.0,164.0,-8.77,-2.85,-0.58,2.38,32.39,65.77,37.42,,12.34,1.22,1.27,14.88,14.519480999999999
NURO,16.0,0.02,,1.0,3.0,6.0,0.42,0.22,,0.89,50.34,24.19,42.58,4.12,37.94,1.93,,31.91,4.65
NUVA,1102.0,0.24,,52.0,219.0,439.0,1.53,0.75,1.23,9.95,48.86,65.52,7.72,1.2,4.85,3.44,0.72,5.6,60.599998
NVAX,34.0,-9.99,,18.0,-185.0,74.0,,-72.38,-14.16,4.0,-80.75,,,,1.06,2.62,,506.87,5.86
NVCN,2.0,-76.26,,1.0,-23.0,2.0,,-631.83,,10.88,-80.6,191.85,1074.05,1.11,1.4,1.3,,918.22,4.8
NVCR,248.0,-0.69,,92.0,-2.0,257.0,-56.29,-21.01,-2.41,2.71,33.04,48.62,100.12,3.59,14.84,4.98,1.33,20.39,63.23
NVDA,11716.0,6.63,0.61,625.0,3743.0,9228.0,49.26,33.76,68.17,5.12,70.28,41.89,44.45,3.83,9.76,7.94,0.21,20.28,174.070007
NVEC,30.0,2.87,4.0,5.0,15.0,32.0,15.53,15.36,,2.03,98.87,38.65,23.01,1.79,21.81,33.03,,12.4,97.889999
NVEE,418.0,2.33,,12.0,35.0,112.0,10.79,7.21,18.15,0.53,72.26,74.84,34.5,,40.97,2.54,0.09,,68.269997
NVFY,106.0,0.7,,6.0,-1.0,72.0,5.72,4.8,,0.03,85.71,164.7,8.49,18.8,648.32,27.95,0.06,,8.9
NVIV,,-140.81,,,-12.0,15.0,-178.66,-144.49,,,87.67,,,,,7.77,,,22.200001
NVMI,251.0,1.89,,29.0,36.0,233.0,21.43,17.63,,1.46,84.2,68.66,59.92,2.76,18.17,5.86,,18.1,27.700001
NVUS,,-1.56,,9.0,-12.0,12.0,-82.87,-74.19,,,85.12,,,,,5.63,,,1.01
NWBI,430.0,1.02,0.68,104.0,139.0,,8.56,1.11,,1.22,13.09,,,,2.91,,0.09,,16.940001000000002
NWFL,44.0,2.17,0.88,6.0,17.0,,11.47,1.18,,1.99,10.32,,,,3.17,,0.43,,32.049999
NWGI,23.0,0.16,,9.0,3.0,1.0,41.35,13.9,5.62,0.79,33.65,12.16,43.57,,94.53,1.09,0.09,,4.036
NWL,8630.0,-14.65,0.92,473.0,680.0,4419.0,-71.36,-27.21,,4.45,29.65,95.67,90.28,2.75,6.56,2.32,1.28,,16.6
NWLI,552.0,33.02,0.36,4.0,327.0,,6.26,0.97,,0.57,15.93,,,,,,,,268.369995
NWPX,172.0,2.09,,10.0,-18.0,128.0,9.7,8.1,30.26,2.21,80.56,67.2,31.13,5.67,1.89,5.07,0.06,,24.0
NWS,9024.0,-2.6,0.2,583.0,757.0,1099.0,-15.1,-9.81,,4.03,61.42,58.41,,,4.31,1.33,0.16,,13.34
NWSA,9024.0,-2.6,0.2,583.0,757.0,1099.0,-15.1,-9.81,,4.03,61.42,58.41,,,4.31,1.33,0.16,,13.02
NXGN,531.0,0.04,,63.0,77.0,7.0,0.77,0.49,0.88,5.4,62.71,57.86,6.67,1429.2,19.59,1.05,0.11,15.3,17.549999
NXPI,9407.0,6.72,0.5,329.0,4369.0,1840.0,18.38,9.69,9.7,7.03,49.22,32.42,85.92,3.62,3.98,1.54,0.59,18.07,102.139999
NXST,2767.0,8.21,1.5,46.0,737.0,363.0,22.75,5.36,3.41,3.84,26.3,73.23,16.16,,3.78,1.9,2.1,,101.0
NXTC,,-2.27,,10.0,8.0,125.0,,-27.29,,,-31.8,,,,,13.19,,,27.925
NXTD,17.0,-0.29,,25.0,,-2.0,-42.46,-16.66,0.56,0.06,38.72,21.9,103.54,2.44,74.1,0.66,0.93,4.45,0.661
NYMT,146.0,0.61,0.8,147.0,24.0,,10.08,0.59,,0.31,8.0,,,,,,12.73,,6.15
NYMTM,146.0,,,,24.0,,10.08,0.59,,0.31,8.0,,,,,,12.73,,25.139999
NYMTN,146.0,,,,24.0,,10.08,0.59,,0.31,8.0,,,,,,12.73,,24.52
NYMTO,146.0,,,,24.0,,10.08,0.59,,0.31,8.0,,,,,,12.73,,24.910999
NYMTP,146.0,,,,24.0,,10.08,0.59,,0.31,8.0,,,,,,12.73,,24.620001000000002
NYMX,,-0.18,,60.0,-8.0,7.0,-368.42,-233.99,-587.56,12.04,86.7,49.44,3735.96,4.93,17.59,7.47,,,1.83
OAS,2322.0,-0.11,,307.0,996.0,-58.0,-0.99,-0.5,0.84,49.61,50.18,36.78,53.24,60.63,0.35,0.91,0.73,,5.2
OBAS,17.0,-0.54,,5.0,7.0,3.0,-5.03,-1.11,2.25,,23.9,8.34,73.71,,,1.22,2.7,,11.81
OBCI,42.0,0.3,,9.0,1.0,21.0,10.68,8.32,,4.15,77.86,46.37,21.84,2.59,4.41,7.83,0.16,,3.35
OBLN,9.0,-19.64,,2.0,-29.0,11.0,-155.04,-89.55,,14.09,43.13,102.13,81.94,3.62,5.9,1.66,,117.54,5.2
OBNK,189.0,2.2,0.1,22.0,78.0,,10.75,1.08,,2.9,11.4,,,,2.48,,0.83,,34.080002
OBSV,,-1.91,,40.0,-64.0,128.0,-56.92,-50.69,,,87.74,,,,,8.58,,,11.31
OCC,88.0,0.14,,8.0,3.0,24.0,4.23,2.57,2.73,0.84,62.21,45.24,17.79,3.5,7.5,4.42,0.34,,4.12
OCCIP,,,,,,,,,,,,,,,,,,,25.3575
OCFC,275.0,1.51,0.62,48.0,93.0,,8.77,1.11,,4.17,13.83,,,,2.59,,0.53,,24.01
OCGN,,-47.4,,1.0,-16.0,14.0,,-59.88,,,-2.63,,,,,5.71,,,7.44
OCSI,26.0,0.7,0.63,29.0,-17.0,,7.02,3.46,,,50.54,,,,,,0.93,,8.35
OCSL,57.0,0.33,0.4,141.0,60.0,,5.42,2.95,,,55.31,,,,,,0.74,,5.18
OCUL,2.0,-1.57,,38.0,-49.0,47.0,-193.41,-93.37,-33.49,94.92,49.11,39.16,2565.2,2.74,0.19,6.14,0.69,,3.97
ODFL,4044.0,4.92,0.35,123.0,900.0,349.0,24.44,18.32,,14.55,75.61,37.09,11.54,,1.57,1.98,0.02,,100.513336
ODP,11015.0,0.19,0.1,564.0,627.0,498.0,4.9,1.67,2.31,1.7,34.48,30.09,43.17,7.84,14.81,1.23,0.68,,2.23
ODT,,-3.64,,24.0,-67.0,122.0,-55.6,-51.4,,,86.91,,,,,7.68,,,26.030001000000002
OESX,60.0,-0.46,,29.0,-4.0,13.0,-44.6,-24.45,-29.92,0.97,51.68,54.2,93.23,4.26,4.52,1.79,0.17,3.16,0.89
OFED,17.0,0.52,0.4,6.0,6.0,,3.54,0.62,,4.03,17.39,,,,2.48,,0.17,,26.200001
OFIX,453.0,0.72,,19.0,50.0,159.0,4.37,3.17,,3.37,71.87,56.87,68.18,1.22,10.3,2.85,,7.33,52.880001
OFLX,108.0,2.0,0.94,10.0,21.0,55.0,33.14,24.57,,1.78,76.31,54.06,23.23,5.28,14.09,4.0,,4.44,84.199997
OFS,14.0,0.72,1.36,13.0,-101.0,,5.27,2.4,,,39.65,,,,,,1.45,,11.61
OGI,,,,127.0,,,15.33,10.38,3.75,454.06,61.01,18.83,,1.68,0.17,18.06,0.53,,6.26
OIIM,60.0,-0.24,,26.0,-7.0,59.0,-7.81,-6.99,,1.17,89.98,49.68,42.11,3.16,4.16,9.18,,29.88,1.64
OKTA,399.0,-1.17,,108.0,15.0,145.0,-60.34,-20.38,-7.33,5.68,29.2,65.9,43.09,,12.2,1.26,,25.64,113.220001
OLED,247.0,1.24,0.24,47.0,122.0,502.0,8.62,6.79,,10.26,73.98,70.43,82.85,1.01,3.92,4.77,,21.71,167.899994
OLLI,1241.0,2.05,,66.0,126.0,208.0,15.53,12.29,,5.98,81.33,0.27,37.21,2.7,14.27,2.37,,,78.16999799999999
OMAB,,,,49.0,,,31.23,15.34,9.36,3.11,50.35,34.42,26.49,,2.83,3.17,0.65,,41.48
OMCL,787.0,0.93,,41.0,104.0,193.0,6.3,3.66,,6.91,62.86,89.35,37.97,4.21,16.73,1.94,0.2,8.24,79.449997
OMER,30.0,-2.61,,49.0,-104.0,53.0,,-119.43,-7.6,1.9,-104.4,242.78,4623.81,1.93,10.01,2.41,,300.86,15.69
OMEX,3.0,-0.6,,9.0,-6.0,-37.0,,-122.49,-1.9,0.29,-88.32,0.94,255.76,,9.2,0.11,,,4.6
OMP,272.0,1.82,1.63,27.0,205.0,-2.0,20.59,5.97,63.49,101.91,,2.23,25.48,,0.36,0.98,1.33,,18.940001000000002
ON,5878.0,1.44,,435.0,1274.0,1699.0,21.09,8.49,6.89,8.76,41.92,43.08,61.16,3.14,2.43,2.16,0.83,11.07,20.4
ONB,719.0,1.22,0.52,157.0,234.0,,7.88,1.02,,4.64,13.63,,,,1.52,,0.69,,17.08
ONCS,,-9.75,,4.0,-23.0,23.0,-232.81,-172.11,,,75.79,,,,,4.89,,,6.4
ONCT,,-11.55,,3.0,-39.0,26.0,-119.36,-99.07,,,83.37,,,,,5.99,,,5.6
ONCY,,,,16.0,,,-235.33,-103.21,,,41.68,,,,,5.13,,,1.72
ONEM,213.0,-0.42,,105.0,-18.0,203.0,,-18.54,-55.56,5.06,-47.31,24.01,11.82,34.36,5.06,4.79,,,
ONEW,603.0,-1.37,,5.0,-5.0,33.0,-34.91,-2.33,1.21,1.68,4.31,2.68,4.76,3.1,43.15,1.18,2.5,,
ONTX,1.0,-4.99,,4.0,-23.0,9.0,,-179.66,,,30.06,13.97,,,33.64,2.11,,,2.5
ONVO,5.0,-0.32,,107.0,-29.0,42.0,-65.08,-58.49,,6.43,89.48,60.66,289.7,1.48,1.39,10.04,,390.09,1.06
