Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
CFFAU,,,,,,-2.0,0.14,0.14,,,98.97,,,,,0.19,,,10.41
CFFI,107.0,5.15,1.41,4.0,47.0,,12.27,1.19,,3.15,9.99,,,,2.9,,0.95,,51.59
CFFN,215.0,0.73,0.34,135.0,124.0,,7.17,1.06,,5.47,14.73,,,,2.38,,1.56,,13.37
CFMS,90.0,-0.74,,59.0,-27.0,37.0,-104.86,-55.32,-11.9,4.52,57.47,54.04,36.83,4.41,5.8,4.22,0.41,18.79,1.91
CFRX,,-4.95,,8.0,-26.0,26.0,-205.17,-90.74,,,16.86,,,,,5.42,,,4.46
CG,1808.0,0.82,1.24,113.0,-344.0,,15.24,0.74,,1.73,8.84,,,,18.5,,10.83,,22.610001
CGBD,48.0,0.63,1.48,63.0,29.0,,3.57,1.91,,,51.0,,,,,,0.9,,14.48
CGEN,18.0,-0.41,,55.0,-13.0,37.0,-67.93,-49.17,,0.89,70.03,2.24,1128.01,,4.44,4.66,,170.33,3.84
CGIX,29.0,-30.3,,1.0,-14.0,4.0,-79.71,-44.12,-9.78,4.84,51.25,142.3,,18.25,5.66,1.18,0.02,16.45,27.9
CGNX,806.0,1.24,0.18,177.0,223.0,689.0,19.66,17.01,,4.6,88.03,53.99,35.15,2.73,9.52,8.54,,14.44,49.130001
CHCI,45.0,-1.21,,3.0,5.0,39.0,,-7.37,-114.61,0.12,-42.07,4.78,64.76,0.91,,5.28,,,2.03
CHCO,194.0,4.49,1.91,15.0,73.0,,12.57,1.54,,5.25,12.26,,,,2.57,,0.07,,76.260002
CHDN,1009.0,8.48,0.54,42.0,198.0,-15.0,63.36,17.27,,14.81,27.43,2.08,25.65,,1.48,0.94,1.86,,115.07
CHEF,1445.0,0.7,,30.0,45.0,203.0,7.32,2.87,2.34,1.37,42.15,38.4,26.73,10.04,20.46,2.62,0.9,,33.130001
CHEK,,-2.61,,4.0,-10.0,13.0,-111.85,-90.73,,,84.41,,,,,6.75,,,2.1
CHFS,5.0,-42.14,,,-15.0,5.0,-153.62,-125.09,,3.96,67.64,48.6,99.21,2.26,9.04,2.86,,61.08,2.91
CHKP,1916.0,5.15,,159.0,1143.0,990.0,22.28,14.55,421.64,0.89,64.73,92.14,29.89,,24.52,1.74,,11.04,111.949997
CHMA,,-1.28,,24.0,-24.0,34.0,-64.72,-46.96,,,53.95,,,,,2.17,,,5.2
CHMG,83.0,4.06,1.04,5.0,28.0,,12.47,1.13,,2.14,9.4,,,,3.2,,0.03,,43.639998999999996
CHNG,,0.52,,118.0,,,5.38,4.41,,,85.63,,,,,1.0,,,
CHNGU,,,,,,,5.38,4.41,,,85.63,,,,,1.0,,,
CHNR,,,,25.0,,,,-48.17,-440.36,,-52.12,,,,,0.65,,,1.98
CHRS,,-3.22,,65.0,-159.0,51.0,,-159.75,-20.62,,-38.8,,,,,2.54,,,17.370001000000002
CHRW,16631.0,4.73,1.88,140.0,793.0,1320.0,43.99,15.34,28.67,0.38,36.03,46.93,23.56,,72.53,1.92,0.84,,84.089996
CHSCL,31935.0,,,,933.0,182.0,2.28,0.77,0.68,1.39,49.45,17.36,22.21,12.53,5.89,1.03,0.36,,28.139999
CHSCM,31935.0,,,,933.0,182.0,2.28,0.77,0.68,1.39,49.45,17.36,22.21,12.53,5.89,1.03,0.36,,26.629998999999998
CHSCN,31935.0,,,,933.0,182.0,2.28,0.77,0.68,1.39,49.45,17.36,22.21,12.53,5.89,1.03,0.36,,27.67
CHSCO,31935.0,,,,933.0,182.0,2.28,0.77,0.68,1.39,49.45,17.36,22.21,12.53,5.89,1.03,0.36,,28.92
CHSCP,31935.0,,,,933.0,182.0,2.28,0.77,0.68,1.39,49.45,17.36,22.21,12.53,5.89,1.03,0.36,,29.940001000000002
CHTR,43634.0,5.22,,236.0,11767.0,-9365.0,3.26,0.84,,21.99,26.27,14.09,9.81,,1.26,0.23,1.92,,385.380005
CHUY,398.0,0.32,,17.0,48.0,-9.0,2.89,2.02,,11.07,69.96,2.18,9.53,156.56,1.95,0.67,,,22.92
CIDM,68.0,-0.81,,23.0,22.0,-2.0,,-13.8,-0.27,1.38,-17.19,247.36,636.6,20.24,2.48,0.97,,,1.37
CIFS,25.0,1.15,,21.0,28.0,68.0,49.84,44.1,,0.76,89.79,104.48,72.11,,200.19,9.65,,0.37,16.620001000000002
CIGI,2825.0,2.45,0.1,40.0,257.0,-38.0,29.02,5.14,,1.26,16.47,54.16,34.44,,31.86,0.95,1.73,,67.5
CIH,,,,96.0,,,492.93,52.32,,0.63,10.61,9.04,16.2,,66.02,1.1,,5.14,298.399994
CINF,5407.0,1.75,2.12,165.0,1181.0,,3.57,1.31,5.74,0.37,35.71,,,,28.46,,0.11,,103.66999799999999
CIVB,83.0,1.02,0.32,14.0,20.0,,5.77,0.72,,1.77,13.97,,,,4.2,,0.77,,21.73
CIZN,35.0,1.36,0.96,5.0,12.0,,7.75,0.68,,0.99,8.75,,,,1.74,,,,21.059998999999998
