Company,Revenue EUR Mil,Earnings Per Share EUR,Dividends EUR,Shares Mil,Operating Cash Flow EUR Mil,Working Capital EUR Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
ANIM,798.0,0.31,0.24,364.0,802.0,290.0,13.06,6.74,31.43,0.58,42.2,44.22,7.32,,338.15,2.27,1.08,,4.606
AV,60.0,0.16,0,58.0,3.0,43.0,36.31,14.94,77.05,0.73,41.23,144.98,101.1,2.02,14.48,4.29,0.18,,
AAPL,,,0,5000.0,,,49.36,16.07,23.5,5.01,29.3,28.21,116.95,37.17,7.07,1.12,0.87,5.36,174.179993
ECNL,549.0,0.55,0,45.0,50.0,131.0,20.88,5.25,5.29,7.11,26.35,23.12,113.48,1.9,3.64,1.77,1.28,,12.2
ABS,2.0,0.11,0,7.0,,2.0,43.44,21.46,140.85,3.73,49.39,53.8,78.89,2.82,11.21,3.76,0.27,,
ASC,582.0,0.2,0.18,223.0,69.0,-4.0,10.04,5.45,62.46,5.08,52.73,101.61,101.46,88.7,17.88,0.99,0.12,,3.78
EVA,2.0,-0.77,0,17.0,-7.0,-17.0,-92.69,-33.11,,,32.6,,61.05,1.04,0.42,0.33,,,
ASML,10944.0,6.08,1.4,426.0,3072.0,6740.0,23.23,13.52,,5.57,57.81,54.54,55.58,1.84,6.58,2.78,0.26,14.4,183.820007
ASSI,67.0,0.14,0.05,33.0,6.0,6.0,19.71,4.42,7.13,1.27,22.26,26.7,50.95,,32.89,1.1,0.6,,2.37
AST,2987.0,0.65,0.2,111.0,-101.0,881.0,10.95,1.59,2.92,1.33,14.64,200.26,265.9,34.24,14.3,1.37,2.15,,5.63
AT,1725.0,1.62,0.46,93.0,475.0,466.0,8.15,2.35,5.51,13.93,35.96,42.46,118.93,5.45,16.02,1.56,1.05,,19.84
ATL,6207.0,1.43,1.1,818.0,2390.0,3045.0,14.65,2.97,4.44,16.92,23.67,97.77,365.67,22.07,21.0,1.56,1.75,,25.15
AGL,5012.0,0.38,0.16,254.0,314.0,-431.0,14.87,4.03,7.09,5.55,28.21,6.56,46.68,29.12,5.64,0.54,0.82,,10.29
AUTME,93.0,4.88,1.0,4.0,13.0,171.0,13.46,4.56,5.92,0.59,35.34,71.79,558.33,34.07,25.21,1.59,,,30.4
AVIO,325.0,0.7,0,26.0,13.0,48.0,6.57,2.25,10.04,7.88,32.69,10.28,110.07,2.04,6.07,1.12,0.14,,13.49
AXA,100932.0,0.79,1.26,2389.0,7634.0,,2.84,0.21,3.72,0.46,6.79,,,,67.76,,0.99,,22.965
AZM,778.0,1.61,0.93,133.0,365.0,297.0,35.22,2.71,337.88,2.44,7.33,45.47,141.47,,101.54,2.45,0.6,,13.6512
BEC,40.0,0.57,0.4,11.0,4.0,22.0,31.4,16.74,239.47,1.29,41.38,86.78,77.71,2.21,13.37,2.58,0.59,,11.64
BFG,37.0,,0,86.0,-17.0,17.0,-0.09,-0.05,1.42,78.08,66.88,165.12,324.48,1.36,0.17,1.26,0.06,,2.5
BFF,205.0,0.56,0,170.0,156.0,,27.39,2.08,,1.46,8.18,,,,15.88,,2.9,,5.16
BGN,549.0,1.75,1.07,116.0,371.0,,29.53,2.35,,1.59,8.19,,,,46.23,,0.34,,22.280001000000002
IF,468.0,2.75,1.0,53.0,78.0,,10.4,1.55,,3.06,15.5,,,,3.64,,1.37,,14.71
BIM,16.0,-1.02,0,151.0,-212.0,,-112.95,-10.63,,2.12,6.21,,,,0.26,,0.19,,0.1385
BMED,2093.0,0.34,0.4,737.0,357.0,,11.98,0.56,,2.13,4.35,,,,19.01,,0.05,,6.475
BST,83.0,0.33,0.07,80.0,92.0,,22.13,1.28,,1.48,5.83,,,,3.45,,2.92,,2.09
B,56.0,0.03,0,110.0,13.0,-13.0,,1.87,1.52,4.51,0.43,57.14,349.24,0.23,0.73,0.93,93.44,,0.97
SANT,43713.0,0.45,0.22,16193.0,3416.0,,7.59,0.5,,27.9,6.66,,,,1.93,,,,3.91
BASF,62675.0,5.11,3.1,921.0,7939.0,19892.0,13.67,5.69,8.86,6.21,41.0,63.64,41.56,3.98,2.72,1.85,0.44,3.24,64.150002
BAN,156.0,0.39,0.06,54.0,22.0,49.0,20.02,9.24,27.43,3.48,47.95,150.65,143.84,2.01,5.25,1.53,0.2,,4.86
BAY,39586.0,1.8,2.75,941.0,7917.0,8110.0,4.1,1.68,2.44,6.55,36.46,94.13,113.12,2.08,3.85,1.36,0.82,13.25,64.779999
BB,,,0,55.0,,,-14.68,-14.02,,,93.45,,,,,,0.06,,56.650002
BBVA,23769.0,0.75,0.1,6668.0,8664.0,,10.72,0.73,,6.29,7.02,,,,3.38,,1.36,,4.855
CRGR,706.0,-0.03,0,9633.0,-5.0,,-12.78,-1.03,,3.91,8.09,,,,1.12,,2.78,,
BFE,106.0,0.11,0.01,334.0,29.0,,16.52,2.0,,0.38,12.56,,,,20.49,,0.1,,0.375
BMPS,3568.0,0.25,0,1104.0,-3182.0,,2.87,0.21,,3.4,6.89,,,,1.63,,1.91,,1.3615
BPSO,1002.0,0.35,0.06,453.0,4034.0,,6.05,0.4,,4.62,6.45,,,,3.84,,1.23,,3.286
PRO,64.0,0.01,0,668.0,32.0,,3.3,0.3,,2.69,9.68,,,,1.28,,0.12,,0.2005
BDBR,460.0,0.33,0.1,130.0,776.0,,4.87,0.33,,2.07,6.65,,,,2.56,,1.87,,2.09
BDB,460.0,0.33,0.08,130.0,776.0,,4.87,0.33,,2.07,6.65,,,,2.56,,1.87,,2.13
BSRP,375.0,0.01,0.53,51.0,37.0,,0.05,0.01,,2.29,9.65,,,,1.65,,0.78,,6.52
BET,130.0,0.03,0.01,135.0,4.0,2.0,8.67,3.2,9.83,1.63,38.47,67.76,95.33,1711.93,66.78,1.03,0.23,,0.91
BE,178.0,0.01,0.02,199.0,11.0,54.0,3.31,1.17,2.95,2.64,35.84,76.45,169.59,1.77,2.47,1.6,0.64,,0.346
BEI,7233.0,3.21,0.7,227.0,868.0,2220.0,13.57,8.53,117.44,4.95,63.56,68.63,176.51,3.36,6.39,1.94,,2.92,104.0
BIA,177.0,-0.04,0,125.0,6.0,-37.0,-45.44,-3.1,0.1,6.73,5.29,104.43,179.58,1.79,5.88,0.74,0.66,,0.340167
BCM,92.0,,0,33.0,7.0,-195.0,,-7.59,-17.48,1.74,-44.44,357.97,426.91,67.04,0.84,0.37,,,0.1618
BSS,690.0,1.56,0.36,27.0,83.0,31.0,24.54,8.23,45.01,5.19,34.26,65.62,246.4,2.25,8.0,1.09,0.11,,35.279999
ON,10.0,0.24,0,22.0,-1.0,55.0,16.91,12.05,495.96,55.82,68.75,457.17,272.89,,2.97,10.71,0.31,,45.0
BIE,46.0,-1.4,0,4.0,-2.0,-6.0,-53.18,-13.68,-25.61,1.69,20.41,77.57,101.38,8.14,11.18,0.75,0.43,,1.62
BLUE,3.0,0.01,0,3.0,,1.0,1.82,1.07,3.64,17.76,52.53,112.75,79.44,,75.22,1.5,,,1.07
BMW,97480.0,10.6,4.0,658.0,5051.0,12629.0,12.75,3.54,26.43,7.98,27.61,120.02,44.86,6.13,1.72,1.18,1.04,,68.620003
BNP,51944.0,5.73,3.02,1248.0,-518.0,,7.04,0.36,,3.52,4.98,,,,2.07,,2.27,,42.639998999999996
BO,1.0,-0.09,0,10.0,11.0,,-5.75,-2.12,-0.92,,86.25,336.59,292.15,,,0.71,,,0.596
BOR,1.0,-0.09,0,10.0,11.0,,-5.75,-2.12,-0.92,,86.25,336.59,292.15,,,0.71,,,1.47
BPE,2092.0,0.36,0.06,481.0,297.0,,3.55,0.26,,4.41,7.16,,,,2.06,,1.96,,4.13
BRE,2646.0,0.73,0.22,325.0,448.0,142.0,21.32,9.87,21.04,10.88,47.94,54.02,152.93,3.79,2.68,1.14,0.17,,9.97
BRI,27.0,-0.01,0,788.0,9.0,3.0,-9.17,-2.37,-7.95,5.43,25.25,33.29,791.77,0.16,4.44,1.03,1.6,,0.07
BC,506.0,0.75,0.16,68.0,86.0,149.0,21.39,11.62,44.3,5.43,58.09,33.35,73.92,2.07,4.45,2.12,0.18,,30.049999
BZU,2806.0,1.77,0.1,220.0,371.0,924.0,13.94,6.76,5.69,6.55,49.26,50.81,83.69,2.65,0.9,2.12,0.39,,19.01
BZUR,2806.0,1.77,0.1,220.0,371.0,924.0,13.94,6.76,5.69,6.55,49.26,50.81,83.69,2.65,0.9,2.12,0.39,,11.1
CAI,1136.0,0.39,0.05,134.0,98.0,-86.0,14.15,3.11,8.65,2.38,25.57,97.92,210.34,29.55,13.6,0.85,0.81,,3.425
CLF,57.0,-0.01,0.02,15.0,,16.0,-0.6,-0.17,1.32,3.17,29.57,132.44,124.2,2.56,10.44,1.65,0.57,,1.465
CLG,8.0,-0.05,0,2.0,,1.0,-4.63,-2.89,-2.91,0.94,59.66,72.0,24.33,,670.1,1.67,,,1.44
CALT,1403.0,0.4,0.06,120.0,83.0,952.0,4.86,1.21,6.06,7.5,35.44,83.65,256.62,1.15,1.45,2.6,0.93,,2.7
CED,143.0,-0.24,0,123.0,-2.0,134.0,-6.43,-4.9,-65.62,2.87,77.22,130.45,249.05,20.9,3.52,3.39,,,1.29
CPR,1712.0,0.25,0.05,1180.0,330.0,899.0,14.43,6.58,11.41,4.84,47.2,64.33,117.88,1.29,3.87,2.36,0.5,,8.385
CFP,,-0.06,0,7.0,,66.0,-0.57,-0.56,-1.84,,99.22,,312.29,,,168.63,,,9.75
CRL,283.0,0.31,0,100.0,27.0,72.0,25.98,11.21,126.06,6.51,37.24,73.8,85.32,3.58,9.45,1.66,0.58,,10.74
CARR,606.0,0.22,0,63.0,28.0,-23.0,22.83,2.65,3.03,2.57,13.66,38.68,122.41,4.24,4.16,0.92,1.84,,2.94
CRR,80491.0,-0.7,0.7,755.0,2843.0,-4258.0,-5.18,-1.1,1.67,2.96,22.0,12.31,88.63,9.14,6.07,0.82,0.9,,16.645
CDG,25.0,-0.14,0,13.0,,2.0,-32.37,-9.55,-1.59,4.98,41.12,98.17,93.48,17.11,92.59,1.3,0.09,,1.41
CASS,5059.0,0.24,0.35,168.0,1453.0,,2.22,0.16,,0.93,7.2,,,,27.88,,0.37,,7.41
CDR,6.0,0.15,0.03,19.0,2.0,14.0,13.62,5.16,4.06,45.14,35.45,184.12,273.91,1.04,19.81,1.91,1.0,,0.9890899999999999
CELL,160.0,-0.27,0,13.0,21.0,60.0,19.35,11.02,16.64,0.9,48.37,167.76,157.63,4.28,19.48,2.34,0.62,0.34,9.4
CMB,133.0,1.36,0.7,17.0,23.0,71.0,16.19,13.6,,9.65,83.86,70.52,83.13,1.52,1.92,4.16,,,23.299999
CEM,1196.0,0.8,0.1,159.0,157.0,283.0,13.02,5.67,13.93,5.57,49.83,48.62,168.78,2.97,1.54,1.85,0.45,,6.15
CLI,182.0,0.03,0,14.0,5.0,,0.63,0.19,0.69,8.96,30.3,30.12,151.21,10.35,1.58,0.99,1.04,,2.63
CERV,377.0,0.24,0.23,196.0,147.0,52.0,8.61,3.35,6.27,10.22,38.26,142.7,79.94,84.37,20.84,1.3,1.04,,9.485
CFT,211.0,0.56,0,10.0,-5.0,19.0,28.35,2.68,10.98,4.26,8.72,65.96,145.29,2.17,5.97,1.14,1.83,,7.715380000000001
CHL,21.0,-0.01,0,1026.0,-1.0,-4.0,-23.37,-7.21,-0.85,1.81,28.14,133.79,174.16,64.64,13.82,0.71,0.02,,0.0168
CIA,17.0,0.05,0,84.0,11.0,1.0,40.4,8.23,3.2,,42.35,166.47,323.95,0.69,0.68,1.08,0.24,,0.176
CIR,2796.0,,0.01,709.0,78.0,294.0,-0.55,-0.08,3.95,4.87,20.06,57.87,95.52,9.75,4.11,1.28,1.23,,0.48491300000000004
CIRC,3.0,0.15,0,3.0,1.0,2.0,32.84,12.41,98.57,8.47,39.19,,75.38,51.46,66.96,2.21,0.37,,2.31818
